"Name","RelativePath","Size","SHA256","Signature","Signer","ReadError"
"2.ico","2.ico","16958","950D53003D6787915DBAD120D0E2964EA7302A56DA93E836E27CED079624E697","UnknownError","",""
"2.txt","2.txt","18","D6AAE17A44E4D1F7E882E5FE898F56EDFC0AAA27D620F735C9ED7902CE72C199","UnknownError","",""
"3.ico","3.ico","16958","950D53003D6787915DBAD120D0E2964EA7302A56DA93E836E27CED079624E697","UnknownError","",""
"4.ico","4.ico","16958","950D53003D6787915DBAD120D0E2964EA7302A56DA93E836E27CED079624E697","UnknownError","",""
"6.ico","6.ico","16958","950D53003D6787915DBAD120D0E2964EA7302A56DA93E836E27CED079624E697","UnknownError","",""
"8.ico","8.ico","16958","950D53003D6787915DBAD120D0E2964EA7302A56DA93E836E27CED079624E697","UnknownError","",""
"chgport.exe","chgport.exe","2328544","255E4C5B81DDABC02455B7B4560E168B4064E63EC3721230201D1A7928C9F158","Valid","CN=""Hithink RoyalFlush Information Network Co., Ltd."", O=""Hithink RoyalFlush Information Network Co., Ltd."", L=杭州市, S=浙江省, C=CN, SERIALNUMBER=9133000070337747XE, OID.1.3.6.1.4.1.311.60.2.1.2=浙江省, OID.1.3.6.1.4.1.311.60.2.1.3=CN, OID.2.5.4.15=Private Organization",""
"glib-2.0.dll","glib-2.0.dll","1196976","2E6ED256CC0C0E1DBD8D0FBD83818744B4723DEF05BE9C0BCBCA961FEAC56FDF","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"gmodule-2.0.dll","gmodule-2.0.dll","134144","790F2D9AEE17BD3601996EAADA618D0E932B424C937C0265A3D81D24AC0D0120","NotSigned","",""
"gobject-2.0.dll","gobject-2.0.dll","302512","8716833A789CB1BD0C3367BE44996F9198138FAAEB876A7874812319FF505C3F","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"help.pdf","help.pdf","844424","A6DDE2021305F44BF707B879375811AAC356AF8D966329CB129DF4DE2FD0058D","UnknownError","",""
"intl.dll","intl.dll","97200","2B610CEF5CDAAFCDB10A2B63DE10913912B4B5141AE7D81CECE4E9398911D10B","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"LoggerCollector.dll","LoggerCollector.dll","226304","65773D8A11BB0E816722E7FBFAEE27641CE09E3F7B9EBB9E5A9B61CC698F5A1E","NotSigned","",""
"lpinfos.dll","lpinfos.dll","34224","16A2B6BA2284A2476D4A345B35502C52A2A98AC0931CE7FAF814765F659E2725","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"msvcp140.dll","msvcp140.dll","557728","0F885B509A685D2BBFA652FED26B5FB31D88FBDAB0A978C641D1C7B8AA460AA9","Valid","CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",""
"pcre.dll","pcre.dll","413616","9524A9AE031AF3D1755EF7B14031FA4372A9891622323FECB1A8F0180BEB2FFE","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"SetupIcon.ico","SetupIcon.ico","25338","A19D74C45F5E5F899F932E5917B973E14C00284D39BDBBD92E73C830DA68E0EE","UnknownError","",""
"vcruntime140.dll","vcruntime140.dll","120400","36585912E5EAF83BA9FEA0631534F690CCDC2D7BA91537166FE53E56C221E153","Valid","CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",""
"vcruntime140_1.dll","vcruntime140_1.dll","49744","82A2F9AE1E6146AE3CB0F4BC5A62B7227E0384209D9B1AEF86BBCC105912F7CD","Valid","CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",""
"vmtools.dll","vmtools.dll","841136","4504DEE573D0B4655DA2362D89532FA30DDFFBFB3E95575BFA0AAC6684138553","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"vmtoolsd.exe","vmtoolsd.exe","93616","61D4473CFF983C93DF36B127C87FA682DE89B49858723A22B814483632559556","Valid","CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US",""
"VV.txt","VV.txt","18","D6AAE17A44E4D1F7E882E5FE898F56EDFC0AAA27D620F735C9ED7902CE72C199","UnknownError","",""
"vvaS.bin","vvaS.bin","1528","39A99F1EE435835D6130CE147C477ACC4882B2FB0C881EC89DB9C930F4B18D11","UnknownError","",""
"wow32.dll","wow32.dll","522704","29FC393B56FCFA4A242C7BC5177B0861072F35C7C8BE2546115E0F34D059E2BF","Valid","CN=""Hithink RoyalFlush Information Network Co., Ltd."", O=""Hithink RoyalFlush Information Network Co., Ltd."", L=Hangzhou, S=Zhejiang, C=CN, SERIALNUMBER=9133000070337747XE, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Zhejiang, OID.1.3.6.1.4.1.311.60.2.1.3=CN",""
"图标10.ico","图标10.ico","16958","950D53003D6787915DBAD120D0E2964EA7302A56DA93E836E27CED079624E697","UnknownError","",""
"新建文本文档.txt","新建文本文档.txt","18","D6AAE17A44E4D1F7E882E5FE898F56EDFC0AAA27D620F735C9ED7902CE72C199","UnknownError","",""
