優先度,ファミリー,SHA-256,版,状態,観測日,未解決種別,blocker,ケースパス,根拠ファイル
P0,purehvnc,a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9,unknown,explicit_unrecovered,2026-07-30,container_or_resource_boundary;terminal_config_unrecovered;terminal_payload_unrecovered,human_documented_terminal_gap;terminal_family_config_and_c2_not_recovered,analysis-results/malware/purehvnc/versions/unknown/cases/a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9,analysis-results/malware/purehvnc/versions/unknown/cases/a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9/FEATURES.md;analysis-results/malware/purehvnc/versions/unknown/cases/a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9/OVERALL-LOGIC.md;analysis-results/malware/purehvnc/versions/unknown/cases/a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9/metadata.json;analysis-results/malware/purehvnc/versions/unknown/cases/a4a0b87c94132e0433ae48e2151f31e8cdb02113cd0f3aa81a903adc854a64d9/report.json
P0,stealc,125382411e94398dd47ef364807868a3d2a6a4d4821d1513897278e77ef005b1,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/125382411e94398dd47ef364807868a3d2a6a4d4821d1513897278e77ef005b1,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,299c378868c76048c26d0e279655c08305f0ce42e5582fe5005aae776d525a1b,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/299c378868c76048c26d0e279655c08305f0ce42e5582fe5005aae776d525a1b,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,99e3eaac03d77c6b24ebd5a17326ba051788d58f1f1d4aa6871310419a85d8af,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/99e3eaac03d77c6b24ebd5a17326ba051788d58f1f1d4aa6871310419a85d8af,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,9b8e5b5f2e62640327fdd1616c62a29ec27eaddad731d66ed331b3a1135fd6cb,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/9b8e5b5f2e62640327fdd1616c62a29ec27eaddad731d66ed331b3a1135fd6cb,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,ab5f78eaccc4a0f86106c547f828c2da8bd554a855deda50074c8a3cd003513a,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/ab5f78eaccc4a0f86106c547f828c2da8bd554a855deda50074c8a3cd003513a,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,b42f055a7a568843360e4b8b46d514de26931303b039b700d15a336b5c53dc0b,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/b42f055a7a568843360e4b8b46d514de26931303b039b700d15a336b5c53dc0b,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,d1f04b4bea67cbc6f469855826505a16e706b514858fa73c123df263ad34a292,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,enigma_5x;terminal_config_not_recovered,analysis-results/malware/stealc/versions/unknown/cases/d1f04b4bea67cbc6f469855826505a16e706b514858fa73c123df263ad34a292,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,e08a69c8611950c16a0d273800acc6083cce9078358a8ff41b4639e02a7b18b0,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/e08a69c8611950c16a0d273800acc6083cce9078358a8ff41b4639e02a7b18b0,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,e1bdbadb3c03238af26c510775bb0aa63f7221dd43eb6f02a16332e091718779,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/e1bdbadb3c03238af26c510775bb0aa63f7221dd43eb6f02a16332e091718779,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,eb433e78acbf8dc7dfd0817a7699ebef2b44c5de873aa3cb9e950d7df895d49a,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/eb433e78acbf8dc7dfd0817a7699ebef2b44c5de873aa3cb9e950d7df895d49a,analysis-framework/inventories/static-hard-cases.yaml
P0,stealc,f0947eaff9837140af164952d5ff422e3f9e35cea5c85a67709fb97638d03f12,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,terminal_config_not_recovered;themida_winlicense_2x,analysis-results/malware/stealc/versions/unknown/cases/f0947eaff9837140af164952d5ff422e3f9e35cea5c85a67709fb97638d03f12,analysis-framework/inventories/static-hard-cases.yaml
P0,valleyrat,6546aad603716ebbe02412440e8d8d8e5fd7af80f212c6fe45e50a76f093c6d1,unknown,source_material_absent,2026-07-15,required_bytes_absent,required_terminal_bytes_absent,analysis-results/malware/valleyrat/versions/unknown/cases/6546aad603716ebbe02412440e8d8d8e5fd7af80f212c6fe45e50a76f093c6d1,analysis-framework/inventories/static-hard-cases.yaml
P0,valleyrat,81f68f61a8f7cf1accca338fd196051020bf60885aad409332091b759ff818d9,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary,native_control_flow_obfuscation;opaque_predicates;overlapping_instructions;rdtsc;stack_state_manipulation,analysis-results/malware/valleyrat/versions/unknown/cases/81f68f61a8f7cf1accca338fd196051020bf60885aad409332091b759ff818d9,analysis-framework/inventories/static-hard-cases.yaml
P0,valleyrat,ad4a584f5e622c10703bca28c58ee8372899edb48cc1ccf28a2cff87d1afbf2d,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary,native_control_flow_obfuscation;opaque_predicates;overlapping_instructions;rdtsc;stack_state_manipulation,analysis-results/malware/valleyrat/versions/unknown/cases/ad4a584f5e622c10703bca28c58ee8372899edb48cc1ccf28a2cff87d1afbf2d,analysis-framework/inventories/static-hard-cases.yaml
P0,valleyrat,fc397bf8ddae5d01a16beb2076261b2a708b7cb3e8fea0898e56127a757153de,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary,native_control_flow_obfuscation;opaque_predicates;overlapping_instructions;rdtsc;stack_state_manipulation,analysis-results/malware/valleyrat/versions/unknown/cases/fc397bf8ddae5d01a16beb2076261b2a708b7cb3e8fea0898e56127a757153de,analysis-framework/inventories/static-hard-cases.yaml
P0,venomrat,3187d3e3b16a56070801701cb040843b67ee52f3a601be142267fd0ea0d91e3b,unknown,source_material_absent,,required_bytes_absent;terminal_config_unrecovered,human_documented_terminal_gap;required_terminal_bytes_absent,analysis-results/malware/venomrat/versions/unknown/cases/3187d3e3b16a56070801701cb040843b67ee52f3a601be142267fd0ea0d91e3b,analysis-framework/inventories/static-hard-cases.yaml;analysis-results/malware/venomrat/versions/unknown/cases/3187d3e3b16a56070801701cb040843b67ee52f3a601be142267fd0ea0d91e3b/README.md
P0,venomrat,6d25076b0cf8d493bd252bcfdee87c9ec9e23ddb814cfc671e3e80d31e2bf6f8,unknown,source_material_absent,,required_bytes_absent,required_terminal_bytes_absent,analysis-results/malware/venomrat/versions/unknown/cases/6d25076b0cf8d493bd252bcfdee87c9ec9e23ddb814cfc671e3e80d31e2bf6f8,analysis-framework/inventories/static-hard-cases.yaml
P0,vidar,02355d3fee5e217b25f9210ad0f6bacc3807b6ef1a59aa4d428c01017dcbcf28,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,koivm_runtime;static_config_not_recovered;virtualized_cil,analysis-results/malware/vidar/versions/unknown/cases/02355d3fee5e217b25f9210ad0f6bacc3807b6ef1a59aa4d428c01017dcbcf28,analysis-framework/inventories/static-hard-cases.yaml
P0,vidar,05f9553616bb5fdbf37bd4036c210929e08d7181de898c1bea1bdae7afb0766f,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,koivm_runtime;static_config_not_recovered;virtualized_cil,analysis-results/malware/vidar/versions/unknown/cases/05f9553616bb5fdbf37bd4036c210929e08d7181de898c1bea1bdae7afb0766f,analysis-framework/inventories/static-hard-cases.yaml
P0,vidar,0c857501e3851072db666386136929c06bcf4c8d3160b41b7d82a3ce9afca1be,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,koivm_runtime;static_config_not_recovered;virtualized_cil,analysis-results/malware/vidar/versions/unknown/cases/0c857501e3851072db666386136929c06bcf4c8d3160b41b7d82a3ce9afca1be,analysis-framework/inventories/static-hard-cases.yaml
P0,vidar,3418a369486e9bf2b57023dc0b02cb00f12a5214fca8bae20ff93586cc8c678a,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,koivm_runtime;static_config_not_recovered;virtualized_cil,analysis-results/malware/vidar/versions/unknown/cases/3418a369486e9bf2b57023dc0b02cb00f12a5214fca8bae20ff93586cc8c678a,analysis-framework/inventories/static-hard-cases.yaml
P0,vidar,363c46dfb252d7c40d9c3bb63bdc40c2eff0ce16c0c1b77f507d73058104c6e1,unknown,curated_recovery_backlog,,protector_or_virtualization_boundary;terminal_config_unrecovered,koivm_runtime;static_config_not_recovered;virtualized_cil,analysis-results/malware/vidar/versions/unknown/cases/363c46dfb252d7c40d9c3bb63bdc40c2eff0ce16c0c1b77f507d73058104c6e1,analysis-framework/inventories/static-hard-cases.yaml
